commit	subject	score	old_path	new_path	old_package	new_package	old_type	new_type	reason
65b6c080680a8e3497f08769a4740af74591a12a	feat: implement shell core framework and theme management system components	0.990	sources/sources/com/tsf/shell/f/e/e/e.java	sources/sources/com/tsf/shell/f/e/_e/e.java	com.tsf.shell.f.e.e	com.tsf.shell.f.e._e	e	e	content=0.989;methods=1.000;imports=1.000;ids=0.955;type=1.000;path=0.988
65b6c080680a8e3497f08769a4740af74591a12a	feat: implement shell core framework and theme management system components	0.990	sources/sources/com/tsf/shell/f/e/e/d.java	sources/sources/com/tsf/shell/f/e/_e/d.java	com.tsf.shell.f.e.e	com.tsf.shell.f.e._e	d	d	content=0.988;methods=1.000;imports=1.000;ids=0.955;type=1.000;path=0.988
65b6c080680a8e3497f08769a4740af74591a12a	feat: implement shell core framework and theme management system components	0.870	sources/sources/com/tsf/shell/f/f/a/c/h.java	sources/sources/com/tsf/shell/f/f/a/_c/h.java	com.tsf.shell.f.f.a.c	com.tsf.shell.f.f.a._c	h	h	content=0.988;methods=1.000;imports=0.000;ids=0.955;type=1.000;path=0.989
65b6c080680a8e3497f08769a4740af74591a12a	feat: implement shell core framework and theme management system components	0.824	sources/sources/com/tsf/shell/f/f/a/b/k.java	sources/sources/com/tsf/shell/f/f/a/_b/k.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a._b	k	k	content=0.626;methods=1.000;imports=1.000;ids=0.967;type=1.000;path=0.989
65b6c080680a8e3497f08769a4740af74591a12a	feat: implement shell core framework and theme management system components	0.773	sources/sources/com/tsf/shell/f/f/a/a/a/a.java	sources/sources/com/tsf/shell/f/f/a/_a/a/a.java	com.tsf.shell.f.f.a.a.a	com.tsf.shell.f.f.a._a.a	a	a	content=0.867;methods=1.000;imports=0.000;ids=0.944;type=1.000;path=0.989
6389fce245adea425546fcc7b1cd5f82ddc30e47	refactor: restructure shell manager components, replace legacy manager classes with specialized controllers, and clean up theme/preference utilities.	0.558	sources/sources/com/tsf/shell/manager/A.java	sources/sources/com/tsf/shell/manager/GlobalServiceLocator.java	com.tsf.shell.manager	com.tsf.shell.manager	A	GlobalServiceLocator	content=0.673;methods=0.000;imports=0.556;ids=0.605;type=0.550;path=0.804
a774e71e51b6d88cab27c79229b088aa531a14de	refactor: consolidate utility classes, streamline widget management, and perform extensive codebase cleanup	0.657	sources/sources/com/tsf/shell/services/c.java	sources/sources/com/tsf/shell/services/ServiceLifecycleManager.java	com.tsf.shell.services	com.tsf.shell.services	c	ServiceLifecycleManager	content=0.747;methods=0.429;imports=0.333;ids=0.909;type=0.550;path=0.804
7e0852cf1198fbb9456bc6134b8e607907c5a10d	refactor: modularize workspace layout, widget handling, and overlay components through extensive package restructuring and class additions	0.884	sources/sources/com/tsf/shell/f/e/_e/e.java	sources/sources/com/tsf/shell/f/e/_e/WorkspaceRowItem.java	com.tsf.shell.f.e._e	com.tsf.shell.f.e._e	e	WorkspaceRowItem	content=0.874;methods=1.000;imports=1.000;ids=0.917;type=0.550;path=0.851
7e0852cf1198fbb9456bc6134b8e607907c5a10d	refactor: modularize workspace layout, widget handling, and overlay components through extensive package restructuring and class additions	0.880	sources/sources/com/tsf/shell/f/e/_e/d.java	sources/sources/com/tsf/shell/f/e/_e/WorkspaceLayoutItem.java	com.tsf.shell.f.e._e	com.tsf.shell.f.e._e	d	WorkspaceLayoutItem	content=0.871;methods=1.000;imports=1.000;ids=0.917;type=0.550;path=0.808
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.879	sources/sources/com/tsf/shell/f/i/c/a/b/g.java	sources/sources/com/tsf/shell/f/i/c/a/b/SceneComponentG.java	com.tsf.shell.f.i.c.a.b	com.tsf.shell.f.i.c.a.b	g	SceneComponentG	content=0.880;methods=1.000;imports=1.000;ids=0.840;type=0.550;path=0.849
