commit	subject	similarity	old_path	new_path
fa7390bcf64c25948487fa66ce479e382aba2b9d	refactor: migrate ShellCallbackInterface to ShellCallbackDispatcher and perform comprehensive codebase cleanup	077	sources/sources/com/tsf/shell/ShellCallbackInterface.java	sources/sources/com/tsf/shell/ShellCallbackDispatcher.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	098	sources/sources/com/tsf/shell/C.java	sources/sources/com/tsf/shell/ShellBackgroundRenderer.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	091	sources/sources/com/tsf/shell/h.java	sources/sources/com/tsf/shell/ShellBitmapCache.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	081	sources/sources/com/tsf/shell/a.java	sources/sources/com/tsf/shell/ShellCallbackInterface.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	095	sources/sources/com/tsf/shell/F.java	sources/sources/com/tsf/shell/ShellCleanupTask.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	087	sources/sources/com/tsf/shell/A.java	sources/sources/com/tsf/shell/ShellCoreInterface.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	095	sources/sources/com/tsf/shell/D.java	sources/sources/com/tsf/shell/ShellDataProvider.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	089	sources/sources/com/tsf/shell/B.java	sources/sources/com/tsf/shell/ShellEventData.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	093	sources/sources/com/tsf/shell/g.java	sources/sources/com/tsf/shell/ShellGraphicsContext.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	097	sources/sources/com/tsf/shell/i.java	sources/sources/com/tsf/shell/ShellPreferenceManager.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	099	sources/sources/com/tsf/shell/E.java	sources/sources/com/tsf/shell/ShellThemeProvider.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	069	sources/sources/com/tsf/shell/_a/a/A.java	sources/sources/com/tsf/shell/_a/a/ShellActionV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	070	sources/sources/com/tsf/shell/_a/a/e.java	sources/sources/com/tsf/shell/_a/a/ShellConfigEngineV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	075	sources/sources/com/tsf/shell/a/a/a.java	sources/sources/com/tsf/shell/_a/a/ShellContentManagerV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	098	sources/sources/com/tsf/shell/_a/a/d.java	sources/sources/com/tsf/shell/_a/a/ShellLayoutEngineV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	094	sources/sources/com/tsf/shell/_a/a/b.java	sources/sources/com/tsf/shell/_a/a/ShellPageManagerV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	077	sources/sources/com/tsf/shell/_a/a/c.java	sources/sources/com/tsf/shell/_a/a/ShellThemeEngineV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	098	sources/sources/com/tsf/shell/_a/b/a.java	sources/sources/com/tsf/shell/_a/b/ShellGestureHandlerV2.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	068	sources/sources/com/tsf/shell/a/a/e.java	sources/sources/com/tsf/shell/a/a/ShellConfigEngine.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	075	sources/sources/com/tsf/shell/_a/a/a.java	sources/sources/com/tsf/shell/a/a/ShellContentManager.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	097	sources/sources/com/tsf/shell/a/a/d.java	sources/sources/com/tsf/shell/a/a/ShellLayoutEngine.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	090	sources/sources/com/tsf/shell/a/a/b.java	sources/sources/com/tsf/shell/a/a/ShellPageManager.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	076	sources/sources/com/tsf/shell/a/a/c.java	sources/sources/com/tsf/shell/a/a/ShellThemeEngine.java
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	095	sources/sources/com/tsf/shell/a/b/a.java	sources/sources/com/tsf/shell/a/b/ShellGestureHandler.java
